"ZIP CODE","BOROUGH","ON STREET NAME","CROSS STREET NAME","OFF STREET NAME","count"
NULL,NULL,"WEST SHORE EXPRESSWAY           ",NULL,NULL,35
NULL,NULL,"BRUCKNER BOULEVARD",NULL,NULL,34
NULL,NULL,"HALSEY STREET",NULL,NULL,34
NULL,NULL,"THROGS NECK BRIDGE              ",NULL,NULL,34
NULL,NULL,"21 STREET",NULL,NULL,34
NULL,NULL,"PROSPECT EXPRESSWAY EAST",NULL,NULL,33
NULL,NULL,"BUSHWICK AVENUE                 ",NULL,NULL,33
NULL,NULL,"EAST TREMONT AVENUE",NULL,NULL,33
NULL,NULL,"MARCUS GARVEY BOULEVARD",NULL,NULL,33
NULL,NULL,"BUFFALO AVENUE",NULL,NULL,32
NULL,NULL,"AVENUE OF THE AMERICAS",NULL,NULL,32
NULL,NULL,"HENRY HUDSON PARKWAY RAMP",NULL,NULL,32
NULL,NULL,"TROY AVENUE",NULL,NULL,32
NULL,NULL,"DEAN STREET",NULL,NULL,32
NULL,NULL,"WEST 135 STREET",NULL,NULL,32
NULL,NULL,"GOWANUS RAMP                    ",NULL,NULL,32
NULL,NULL,"NEW ENGLAND THRUWAY             ",NULL,NULL,32
NULL,NULL,"MADISON AVENUE",NULL,NULL,32
NULL,NULL,"9 AVENUE",NULL,NULL,32
NULL,NULL,"CENTRAL AVENUE",NULL,NULL,31
NULL,NULL,"86 STREET",NULL,NULL,31
NULL,NULL,"SCHENECTADY AVENUE",NULL,NULL,31
NULL,NULL,"10 AVENUE",NULL,NULL,31
NULL,NULL,"BROOKLYN AVENUE",NULL,NULL,31
NULL,NULL,"RIVERSIDE DRIVE",NULL,NULL,30
NULL,NULL,"PROSPECT EXPRESSWAY RAMP",NULL,NULL,30
NULL,NULL,"LINDEN BOULEVARD                ",NULL,NULL,30
NULL,NULL,"BELT PARKWAY RAMP",NULL,NULL,30
NULL,NULL,"EAST FORDHAM ROAD",NULL,NULL,30
NULL,NULL,"OCEAN AVENUE",NULL,NULL,29
NULL,NULL,"ROCHESTER AVENUE",NULL,NULL,29
NULL,NULL,"CROPSEY AVENUE",NULL,NULL,29
NULL,NULL,"EVERGREEN AVENUE",NULL,NULL,29
NULL,NULL,"QUEENSBORO BRIDGE UPPER",NULL,NULL,29
NULL,NULL,"WEST 207 STREET",NULL,NULL,29
NULL,NULL,"COLLEGE POINT BOULEVARD",NULL,NULL,29
"10459","BRONX","BRUCKNER BOULEVARD",NULL,"TIFFANY STREET",29
NULL,NULL,"CHURCH AVENUE",NULL,NULL,28
NULL,NULL,"EMPIRE BOULEVARD",NULL,NULL,28
NULL,NULL,"EAST 161 STREET",NULL,NULL,28
NULL,NULL,"MOSHOLU PARKWAY",NULL,NULL,28
NULL,NULL,"20 AVENUE",NULL,NULL,28
NULL,NULL,"MARCY AVENUE",NULL,NULL,28
NULL,NULL,"SURF AVENUE",NULL,NULL,27
NULL,NULL,"3 AVENUE                        ",NULL,NULL,27
NULL,NULL,"PARK AVENUE                     ",NULL,NULL,27
NULL,NULL,"MANHATTAN AVENUE",NULL,NULL,27
NULL,NULL,"12 AVENUE",NULL,NULL,27
NULL,NULL,"BRONX WHITESTONE BRIDGE         ",NULL,NULL,27
NULL,NULL,"HARLEM RIVER DRIVE RAMP",NULL,NULL,27
NULL,NULL,"CLEARVIEW EXPRESSWAY            ",NULL,NULL,27
NULL,NULL,"QUEENS BOULEVARD",NULL,NULL,27
NULL,NULL,"FULTON STREET                   ",NULL,NULL,26
NULL,NULL,"GREENE AVENUE",NULL,NULL,26
NULL,NULL,"CROSS BRONX EXPY RAMP           ",NULL,NULL,26
NULL,NULL,"HILLSIDE AVENUE",NULL,NULL,26
NULL,NULL,"KOREAN WAR VETS PARKWAY",NULL,NULL,26
NULL,NULL,"8 AVENUE                        ",NULL,NULL,25
NULL,NULL,"FDR DRIVE RAMP",NULL,NULL,25
NULL,NULL,"JEROME AVENUE                   ",NULL,NULL,25
NULL,NULL,"CLASSON AVENUE",NULL,NULL,25
NULL,NULL,"MERMAID AVENUE",NULL,NULL,25
NULL,NULL,"PACIFIC STREET",NULL,NULL,25
NULL,NULL,"MANHATTAN BR UPPER",NULL,NULL,25
NULL,NULL,"BEDFORD AVENUE                  ",NULL,NULL,25
NULL,NULL,"65 STREET",NULL,NULL,25
NULL,NULL,"WILLOUGHBY AVENUE",NULL,NULL,25
NULL,NULL,"FARMERS BOULEVARD",NULL,NULL,24
NULL,NULL,"FLATBUSH AVENUE",NULL,"GRAND ARMY PLAZA",24
NULL,NULL,"ROCKAWAY BOULEVARD",NULL,"BROOKVILLE BOULEVARD",24
NULL,NULL,"4 AVENUE",NULL,NULL,24
NULL,NULL,"PARK PLACE",NULL,NULL,24
NULL,NULL,"EAST GUN HILL ROAD",NULL,NULL,24
NULL,NULL,"GRAND CONCOURSE                 ",NULL,NULL,24
NULL,NULL,"CONEY ISLAND AVENUE",NULL,NULL,24
NULL,NULL,"MYRTLE AVENUE                   ",NULL,NULL,24
NULL,NULL,"SHERIDAN EXPRESSWAY",NULL,NULL,24
"10035","MANHATTAN","EAST 125 STREET",NULL,"2 AVENUE",24
NULL,NULL,"VANWYCK EXPRESSWAY",NULL,"LINDEN BOULEVARD",23
NULL,NULL,"MERRICK BOULEVARD",NULL,NULL,23
NULL,NULL,"BROOKLYN BRIDGE                 ",NULL,NULL,23
NULL,NULL,"IRVING AVENUE",NULL,NULL,23
NULL,NULL,"DYCKMAN STREET",NULL,NULL,23
NULL,NULL,"CROSS ISLAND PARKWAY",NULL,"HEMPSTEAD AVENUE",23
NULL,NULL,"VANWYCK EXPRESSWAY",NULL,"LIBERTY AVENUE",23
NULL,NULL,"ROCKAWAY BOULEVARD",NULL,NULL,22
NULL,NULL,"NORTHERN BOULEVARD              ",NULL,NULL,22
NULL,NULL,"WEST END AVENUE",NULL,NULL,22
NULL,NULL,"AMSTERDAM AVENUE                ",NULL,NULL,22
NULL,NULL,"VERRAZANO BRIDGE                ",NULL,NULL,22
"11434","QUEENS","ROCKAWAY BOULEVARD",NULL,"BREWER BOULEVARD",22
NULL,NULL,"NORTH CONDUIT AVENUE",NULL,NULL,22
NULL,NULL,"EAST 138 STREET",NULL,"BRUCKNER BOULEVARD",22
NULL,NULL,"CYPRESS AVENUE",NULL,NULL,22
NULL,NULL,"35 AVENUE",NULL,NULL,22
"10459","BRONX","BRUCKNER BOULEVARD",NULL,"HUNTS POINT AVENUE",22
"11207","BROOKLYN","PENNSYLVANIA AVENUE",NULL,"ATLANTIC AVENUE",21
NULL,NULL,"SOUTH CONDUIT AVENUE",NULL,"LINDEN BOULEVARD",21
NULL,NULL,"PITKIN AVENUE",NULL,NULL,21
NULL,NULL,"DE KALB AVENUE",NULL,NULL,21
NULL,NULL,"UTICA AVENUE                    ",NULL,NULL,21
NULL,NULL,"SUTTER AVENUE",NULL,NULL,21
NULL,NULL,"7 AVENUE                        ",NULL,NULL,21
NULL,NULL,"SAINT MARKS AVENUE",NULL,NULL,21
NULL,NULL,"HORACE HARDING EXPRESSWAY",NULL,NULL,20
NULL,NULL,"STERLING PLACE",NULL,NULL,20
NULL,NULL,"OGDEN AVENUE",NULL,NULL,20
NULL,NULL,"HANCOCK STREET",NULL,NULL,20
NULL,NULL,"WEST 181 STREET",NULL,NULL,20
NULL,NULL,"QUEENSBORO BRIDGE LOWER",NULL,NULL,20
NULL,NULL,"WOODHAVEN BOULEVARD",NULL,NULL,20
NULL,NULL,"KINGSTON AVENUE",NULL,NULL,20
