"ZIP CODE","BOROUGH","ON STREET NAME","CROSS STREET NAME","OFF STREET NAME","count"
"11235","BROOKLYN","VOORHIES AVENUE",NULL,"HARING STREET",1
"11235","BROOKLYN","VOORHIES AVENUE",NULL,"NOSTRAND AVENUE",1
"11235","BROOKLYN","VOORHIES AVENUE",NULL,"OCEAN AVENUE",1
"11235","BROOKLYN","VOORHIES AVENUE",NULL,"SHEEPSHEAD BAY ROAD",1
"11235","BROOKLYN","VOORHIES AVENUE                 ",NULL,"OCEAN AVENUE",1
"11236","BROOKLYN","AVENUE A",NULL,"EAST 91 STREET",1
"11236","BROOKLYN","AVENUE A",NULL,"EAST 92 STREET",1
"11236","BROOKLYN","AVENUE A",NULL,"EAST 94 STREET",1
"11236","BROOKLYN","AVENUE B",NULL,"EAST 88 STREET",1
"11236","BROOKLYN","AVENUE B",NULL,"EAST 91 STREET",1
"11236","BROOKLYN","AVENUE B",NULL,"EAST 92 STREET",1
"11236","BROOKLYN","AVENUE B",NULL,"EAST 93 STREET",1
"11236","BROOKLYN","AVENUE B",NULL,"EAST 96 STREET",1
"11236","BROOKLYN","AVENUE B",NULL,"REMSEN AVENUE",1
"11236","BROOKLYN","AVENUE B                        ",NULL,"EAST 89 STREET",1
"11236","BROOKLYN","AVENUE D",NULL,"EAST 89 STREET",1
"11236","BROOKLYN","AVENUE D",NULL,"EAST 92 STREET",1
"11236","BROOKLYN","AVENUE D",NULL,"EAST 93 STREET",1
"11236","BROOKLYN","AVENUE D",NULL,"EAST 96 STREET",1
"11236","BROOKLYN","AVENUE J",NULL,"EAST 102 STREET",1
"11236","BROOKLYN","AVENUE J",NULL,"EAST 80 STREET",1
"11236","BROOKLYN","AVENUE J",NULL,"EAST 81 STREET",1
"11236","BROOKLYN","AVENUE J",NULL,"EAST 85 STREET",1
"11236","BROOKLYN","AVENUE J",NULL,"EAST 92 STREET",1
"11236","BROOKLYN","AVENUE J",NULL,"EAST 93 STREET",1
"11236","BROOKLYN","AVENUE J",NULL,"EAST 99 STREET",1
"11236","BROOKLYN","AVENUE J                        ",NULL,"EAST 102 STREET",1
"11236","BROOKLYN","AVENUE J                        ",NULL,"EAST 106 STREET",1
"11236","BROOKLYN","AVENUE J                        ",NULL,"EAST 80 STREET",1
"11236","BROOKLYN","AVENUE J                        ",NULL,"EAST 81 STREET",1
"11236","BROOKLYN","AVENUE J                        ",NULL,"EAST 93 STREET",1
"11236","BROOKLYN","AVENUE J                        ",NULL,"EAST 94 STREET",1
"11236","BROOKLYN","AVENUE J                        ",NULL,"ROCKAWAY PARKWAY",1
"11236","BROOKLYN","AVENUE K",NULL,"EAST 101 STREET",1
"11236","BROOKLYN","AVENUE K",NULL,"EAST 80 STREET",1
"11236","BROOKLYN","AVENUE K",NULL,"EAST 81 STREET",1
"11236","BROOKLYN","AVENUE K",NULL,"EAST 86 STREET",1
"11236","BROOKLYN","AVENUE K",NULL,"EAST 92 STREET",1
"11236","BROOKLYN","AVENUE K",NULL,"EAST 93 STREET",1
"11236","BROOKLYN","AVENUE K",NULL,"EAST 98 STREET",1
"11236","BROOKLYN","AVENUE K",NULL,"EAST 99 STREET",1
"11236","BROOKLYN","AVENUE K",NULL,"ROCKAWAY PARKWAY",1
"11236","BROOKLYN","AVENUE K                        ",NULL,"EAST 84 STREET",1
"11236","BROOKLYN","AVENUE K                        ",NULL,"EAST 86 STREET",1
"11236","BROOKLYN","AVENUE K                        ",NULL,"EAST 87 STREET",1
"11236","BROOKLYN","AVENUE K                        ",NULL,"EAST 91 STREET",1
"11236","BROOKLYN","AVENUE K                        ",NULL,"EAST 92 STREET",1
"11236","BROOKLYN","AVENUE K                        ",NULL,"EAST 99 STREET",1
"11236","BROOKLYN","AVENUE L",NULL,"EAST 101 STREET",1
"11236","BROOKLYN","AVENUE L",NULL,"EAST 105 STREET",1
"11236","BROOKLYN","AVENUE L",NULL,"EAST 108 STREET",1
"11236","BROOKLYN","AVENUE L",NULL,"EAST 84 STREET",1
"11236","BROOKLYN","AVENUE L                        ",NULL,"EAST 100 STREET",1
"11236","BROOKLYN","AVENUE L                        ",NULL,"EAST 103 STREET",1
"11236","BROOKLYN","AVENUE L                        ",NULL,"EAST 83 STREET",1
"11236","BROOKLYN","AVENUE L                        ",NULL,"EAST 85 STREET",1
"11236","BROOKLYN","AVENUE L                        ",NULL,"ROCKAWAY PARKWAY",1
"11236","BROOKLYN","AVENUE M",NULL,"EAST 82 STREET",1
"11236","BROOKLYN","AVENUE M",NULL,"EAST 86 STREET",1
"11236","BROOKLYN","AVENUE M",NULL,"EAST 87 STREET",1
"11236","BROOKLYN","AVENUE M",NULL,"EAST 89 STREET",1
"11236","BROOKLYN","AVENUE M",NULL,"EAST 91 STREET",1
"11236","BROOKLYN","AVENUE M",NULL,"EAST 92 STREET",1
"11236","BROOKLYN","AVENUE M",NULL,"EAST 95 STREET",1
"11236","BROOKLYN","AVENUE M",NULL,"EAST 96 STREET",1
"11236","BROOKLYN","AVENUE M                        ",NULL,"EAST 100 STREET",1
"11236","BROOKLYN","AVENUE M                        ",NULL,"EAST 84 STREET",1
"11236","BROOKLYN","AVENUE M                        ",NULL,"EAST 87 STREET",1
"11236","BROOKLYN","AVENUE M                        ",NULL,"EAST 91 STREET",1
"11236","BROOKLYN","AVENUE N",NULL,"EAST 105 STREET",1
"11236","BROOKLYN","AVENUE N",NULL,"EAST 108 STREET",1
"11236","BROOKLYN","AVENUE N",NULL,"EAST 84 STREET",1
"11236","BROOKLYN","AVENUE N",NULL,"EAST 88 STREET",1
"11236","BROOKLYN","AVENUE N",NULL,"EAST 94 STREET",1
"11236","BROOKLYN","AVENUE N",NULL,"ROCKAWAY PARKWAY",1
"11236","BROOKLYN","AVENUE N                        ",NULL,"CANARSIE ROAD",1
"11236","BROOKLYN","AVENUE N                        ",NULL,"EAST 104 STREET",1
"11236","BROOKLYN","AVENUE N                        ",NULL,"EAST 84 STREET",1
"11236","BROOKLYN","AVENUE N                        ",NULL,"EAST 94 STREET",1
"11236","BROOKLYN","AVENUE N                        ",NULL,"EAST 95 STREET",1
"11236","BROOKLYN","AVENUE N                        ",NULL,"REMSEN AVENUE",1
"11236","BROOKLYN","BANK STREET",NULL,"AVENUE D",1
"11236","BROOKLYN","BANK STREET",NULL,"FOSTER AVENUE",1
"11236","BROOKLYN","BEDELL LANE                     ",NULL,"EAST 88 STREET",1
"11236","BROOKLYN","BRISTOL STREET",NULL,"DITMAS AVENUE",1
"11236","BROOKLYN","CANARSIE ROAD",NULL,"AVENUE M",1
"11236","BROOKLYN","CANARSIE ROAD",NULL,"AVENUE N",1
"11236","BROOKLYN","CANARSIE ROAD",NULL,"SCHENCK STREET",1
"11236","BROOKLYN","CANARSIE ROAD",NULL,"SEAVIEW COURT",1
"11236","BROOKLYN","CHURCH AVENUE",NULL,"EAST 92 STREET",1
"11236","BROOKLYN","CONKLIN AVENUE",NULL,"EAST 95 STREET",1
"11236","BROOKLYN","CONKLIN AVENUE                  ",NULL,"EAST 94 STREET",1
"11236","BROOKLYN","CONKLIN AVENUE                  ",NULL,"EAST 96 STREET",1
"11236","BROOKLYN","CONKLIN AVENUE                  ",NULL,"EAST 99 STREET",1
"11236","BROOKLYN","DITMAS AVENUE",NULL,"BRISTOL STREET",1
"11236","BROOKLYN","DITMAS AVENUE",NULL,"CHESTER STREET",1
"11236","BROOKLYN","DITMAS AVENUE",NULL,"EAST 88 STREET",1
"11236","BROOKLYN","DITMAS AVENUE",NULL,"EAST 95 STREET",1
"11236","BROOKLYN","DITMAS AVENUE",NULL,"EAST 98 STREET",1
"11236","BROOKLYN","EAST 100 STREET                 ",NULL,"AVENUE M",1
"11236","BROOKLYN","EAST 101 STREET",NULL,"AVENUE D",1
"11236","BROOKLYN","EAST 102 STREET",NULL,"AVENUE N",1
"11236","BROOKLYN","EAST 102 STREET",NULL,"FLATLANDS AVENUE",1
"11236","BROOKLYN","EAST 102 STREET                 ",NULL,"FLATLANDS AVENUE",1
"11236","BROOKLYN","EAST 102 STREET                 ",NULL,"SEAVIEW AVENUE",1
"11236","BROOKLYN","EAST 102 STREET                 ",NULL,"SHORE PARKWAY",1
"11236","BROOKLYN","EAST 103 STREET",NULL,"AVENUE N",1
"11236","BROOKLYN","EAST 103 STREET",NULL,"FLATLANDS AVENUE",1
"11236","BROOKLYN","EAST 103 STREET",NULL,"GLENWOOD ROAD",1
"11236","BROOKLYN","EAST 103 STREET                 ",NULL,"FLATLANDS AVENUE",1
"11236","BROOKLYN","EAST 104 STREET                 ",NULL,"AVENUE M",1
"11236","BROOKLYN","EAST 105 STREET",NULL,"AVENUE M",1
"11236","BROOKLYN","EAST 105 STREET",NULL,"FLATLANDS 5 STREET",1
"11236","BROOKLYN","EAST 105 STREET",NULL,"GLENWOOD ROAD",1
"11236","BROOKLYN","EAST 105 STREET                 ",NULL,"FLATLANDS 9 STREET",1
"11236","BROOKLYN","EAST 106 STREET                 ",NULL,"FLATLANDS AVENUE",1
"11236","BROOKLYN","EAST 107 STREET",NULL,"AVENUE J",1
"11236","BROOKLYN","EAST 108 STREET",NULL,"AVENUE L",1
"11236","BROOKLYN","EAST 108 STREET",NULL,"FLATLANDS 2 STREET",1
"11236","BROOKLYN","EAST 108 STREET",NULL,"FLATLANDS 8 STREET",1
"11236","BROOKLYN","EAST 108 STREET",NULL,"SEAVIEW AVENUE",1
"11236","BROOKLYN","EAST 108 STREET                 ",NULL,"FLATLANDS 6 STREET",1
"11236","BROOKLYN","EAST 108 STREET                 ",NULL,"FLATLANDS AVENUE",1
"11236","BROOKLYN","EAST 108 STREET                 ",NULL,"GLENWOOD ROAD",1
"11236","BROOKLYN","EAST 76 STREET",NULL,"PAERDEGAT AVENUE NORTH",1
"11236","BROOKLYN","EAST 76 STREET",NULL,"RALPH AVENUE",1
"11236","BROOKLYN","EAST 76 STREET                  ",NULL,"GLENWOOD ROAD",1
"11236","BROOKLYN","EAST 78 STREET",NULL,"FARRAGUT ROAD",1
"11236","BROOKLYN","EAST 78 STREET",NULL,"FLATLANDS AVENUE",1
"11236","BROOKLYN","EAST 79 STREET",NULL,"FARRAGUT ROAD",1
"11236","BROOKLYN","EAST 79 STREET",NULL,"FLATLANDS AVENUE",1
"11236","BROOKLYN","EAST 80 STREET",NULL,"AVENUE K",1
"11236","BROOKLYN","EAST 80 STREET",NULL,"PAERDEGAT 10 STREET",1
"11236","BROOKLYN","EAST 80 STREET",NULL,"PAERDEGAT 15 STREET",1
"11236","BROOKLYN","EAST 80 STREET",NULL,"PAERDEGAT 6 STREET",1
"11236","BROOKLYN","EAST 80 STREET",NULL,"PAERDEGAT 7 STREET",1
"11236","BROOKLYN","EAST 80 STREET",NULL,"PAERDEGAT 8 STREET",1
"11236","BROOKLYN","EAST 80 STREET",NULL,"PAERDEGAT 9 STREET",1
"11236","BROOKLYN","EAST 80 STREET                  ",NULL,"AVENUE J",1
"11236","BROOKLYN","EAST 80 STREET                  ",NULL,"FLATLANDS AVENUE",1
"11236","BROOKLYN","EAST 80 STREET                  ",NULL,"GLENWOOD ROAD",1
"11236","BROOKLYN","EAST 80 STREET                  ",NULL,"PAERDEGAT 12 STREET",1
"11236","BROOKLYN","EAST 80 STREET                  ",NULL,"PAERDEGAT 6 STREET",1
"11236","BROOKLYN","EAST 81 STREET",NULL,"AVENUE J",1
"11236","BROOKLYN","EAST 81 STREET",NULL,"FARRAGUT ROAD",1
"11236","BROOKLYN","EAST 81 STREET                  ",NULL,"FARRAGUT ROAD",1
"11236","BROOKLYN","EAST 82 STREET",NULL,"AVENUE L",1
"11236","BROOKLYN","EAST 82 STREET",NULL,"AVENUE M",1
"11236","BROOKLYN","EAST 82 STREET",NULL,"FARRAGUT ROAD",1
"11236","BROOKLYN","EAST 82 STREET",NULL,"FOSTER AVENUE",1
"11236","BROOKLYN","EAST 82 STREET                  ",NULL,"FARRAGUT ROAD",1
"11236","BROOKLYN","EAST 83 STREET",NULL,"AVENUE K",1
"11236","BROOKLYN","EAST 83 STREET",NULL,"AVENUE M",1
"11236","BROOKLYN","EAST 83 STREET",NULL,"FLATLANDS AVENUE",1
"11236","BROOKLYN","EAST 83 STREET                  ",NULL,"AVENUE N",1
"11236","BROOKLYN","EAST 84 STREET                  ",NULL,"AVENUE K",1
"11236","BROOKLYN","EAST 85 STREET",NULL,"FARRAGUT ROAD",1
"11236","BROOKLYN","EAST 85 STREET",NULL,"FOSTER AVENUE",1
"11236","BROOKLYN","EAST 85 STREET",NULL,"GLENWOOD ROAD",1
"11236","BROOKLYN","EAST 85 STREET                  ",NULL,"AVENUE L",1
"11236","BROOKLYN","EAST 85 STREET                  ",NULL,"FOSTER AVENUE",1
"11236","BROOKLYN","EAST 86 STREET",NULL,"AVENUE B",1
"11236","BROOKLYN","EAST 86 STREET",NULL,"AVENUE N",1
"11236","BROOKLYN","EAST 86 STREET",NULL,"FARRAGUT ROAD",1
"11236","BROOKLYN","EAST 86 STREET                  ",NULL,"SEAVIEW AVENUE",1
"11236","BROOKLYN","EAST 87 STREET",NULL,"AVENUE M",1
"11236","BROOKLYN","EAST 87 STREET",NULL,"FARRAGUT ROAD",1
"11236","BROOKLYN","EAST 87 STREET                  ",NULL,"GLENWOOD ROAD",1
"11236","BROOKLYN","EAST 88 STREET",NULL,"AVENUE A",1
"11236","BROOKLYN","EAST 88 STREET",NULL,"AVENUE B",1
"11236","BROOKLYN","EAST 88 STREET",NULL,"AVENUE J",1
"11236","BROOKLYN","EAST 88 STREET",NULL,"AVENUE K",1
"11236","BROOKLYN","EAST 88 STREET",NULL,"AVENUE M",1
"11236","BROOKLYN","EAST 88 STREET",NULL,"AVENUE N",1
"11236","BROOKLYN","EAST 88 STREET",NULL,"FARRAGUT ROAD",1
"11236","BROOKLYN","EAST 88 STREET",NULL,"FLATLANDS AVENUE",1
"11236","BROOKLYN","EAST 88 STREET",NULL,"FOSTER AVENUE",1
"11236","BROOKLYN","EAST 88 STREET                  ",NULL,"AVENUE A",1
"11236","BROOKLYN","EAST 88 STREET                  ",NULL,"AVENUE B",1
"11236","BROOKLYN","EAST 88 STREET                  ",NULL,"AVENUE K",1
"11236","BROOKLYN","EAST 88 STREET                  ",NULL,"FOSTER AVENUE",1
"11236","BROOKLYN","EAST 89 STREET",NULL,"AVENUE B",1
"11236","BROOKLYN","EAST 89 STREET",NULL,"AVENUE D",1
"11236","BROOKLYN","EAST 89 STREET",NULL,"AVENUE L",1
"11236","BROOKLYN","EAST 89 STREET",NULL,"FOSTER AVENUE",1
"11236","BROOKLYN","EAST 89 STREET                  ",NULL,"FLATLANDS AVENUE",1
"11236","BROOKLYN","EAST 89 STREET                  ",NULL,"GLENWOOD ROAD",1
"11236","BROOKLYN","EAST 91 STREET",NULL,"AVENUE L",1
"11236","BROOKLYN","EAST 91 STREET",NULL,"FLATLANDS AVENUE",1
"11236","BROOKLYN","EAST 92 STREET",NULL,"AVENUE A",1
"11236","BROOKLYN","EAST 92 STREET",NULL,"AVENUE L",1
"11236","BROOKLYN","EAST 92 STREET",NULL,"FLATLANDS AVENUE",1
"11236","BROOKLYN","EAST 92 STREET                  ",NULL,"CHURCH AVENUE",1
"11236","BROOKLYN","EAST 92 STREET                  ",NULL,"CONKLIN AVENUE",1
"11236","BROOKLYN","EAST 92 STREET                  ",NULL,"FOSTER AVENUE",1
"11236","BROOKLYN","EAST 93 STREET",NULL,"DITMAS AVENUE",1
"11236","BROOKLYN","EAST 93 STREET                  ",NULL,"AVENUE B",1
"11236","BROOKLYN","EAST 93 STREET                  ",NULL,"FOSTER AVENUE",1
"11236","BROOKLYN","EAST 94 STREET",NULL,"DITMAS AVENUE",1
"11236","BROOKLYN","EAST 94 STREET",NULL,"FARRAGUT ROAD",1
"11236","BROOKLYN","EAST 94 STREET",NULL,"FLATLANDS AVENUE",1
"11236","BROOKLYN","EAST 94 STREET",NULL,"ROST PLACE",1
"11236","BROOKLYN","EAST 94 STREET                  ",NULL,"AVENUE D",1
"11236","BROOKLYN","EAST 94 STREET                  ",NULL,"GLENWOOD ROAD",1
"11236","BROOKLYN","EAST 95 STREET",NULL,"AVENUE B",1
"11236","BROOKLYN","EAST 95 STREET",NULL,"AVENUE M",1
"11236","BROOKLYN","EAST 95 STREET",NULL,"DITMAS AVENUE",1
"11236","BROOKLYN","EAST 95 STREET",NULL,"FARRAGUT ROAD",1
"11236","BROOKLYN","EAST 95 STREET",NULL,"FLATLANDS AVENUE",1
"11236","BROOKLYN","EAST 95 STREET",NULL,"GLENWOOD ROAD",1
"11236","BROOKLYN","EAST 95 STREET",NULL,"SEAVIEW AVENUE",1
"11236","BROOKLYN","EAST 95 STREET                  ",NULL,"AVENUE N",1
"11236","BROOKLYN","EAST 95 STREET                  ",NULL,"FOSTER AVENUE",1
"11236","BROOKLYN","EAST 96 STREET",NULL,"AVENUE N",1
"11236","BROOKLYN","EAST 96 STREET",NULL,"FARRAGUT ROAD",1
"11236","BROOKLYN","EAST 96 STREET                  ",NULL,"AVENUE B",1
"11236","BROOKLYN","EAST 96 STREET                  ",NULL,"AVENUE D",1
"11236","BROOKLYN","EAST 96 STREET                  ",NULL,"AVENUE N",1
"11236","BROOKLYN","EAST 98 STREET",NULL,"CONKLIN AVENUE",1
"11236","BROOKLYN","EAST 98 STREET",NULL,"DITMAS AVENUE",1
"11236","BROOKLYN","EAST 98 STREET",NULL,"FARRAGUT ROAD",1
"11236","BROOKLYN","EAST 98 STREET",NULL,"FOSTER AVENUE",1
"11236","BROOKLYN","EAST 98 STREET                  ",NULL,"AVENUE M",1
"11236","BROOKLYN","EAST 98 STREET                  ",NULL,"BOYLAND STREET",1
"11236","BROOKLYN","EAST 99 STREET",NULL,"FARRAGUT ROAD",1
"11236","BROOKLYN","EAST 99 STREET",NULL,"FOSTER AVENUE",1
"11236","BROOKLYN","EAST 99 STREET                  ",NULL,"AVENUE M",1
"11236","BROOKLYN","FARRAGUT ROAD",NULL,"EAST 79 STREET",1
"11236","BROOKLYN","FARRAGUT ROAD",NULL,"EAST 81 STREET",1
"11236","BROOKLYN","FARRAGUT ROAD",NULL,"EAST 83 STREET",1
"11236","BROOKLYN","FARRAGUT ROAD",NULL,"EAST 84 STREET",1
"11236","BROOKLYN","FARRAGUT ROAD",NULL,"EAST 86 STREET",1
"11236","BROOKLYN","FARRAGUT ROAD",NULL,"EAST 87 STREET",1
"11236","BROOKLYN","FARRAGUT ROAD",NULL,"EAST 88 STREET",1
"11236","BROOKLYN","FARRAGUT ROAD",NULL,"EAST 92 STREET",1
"11236","BROOKLYN","FARRAGUT ROAD",NULL,"EAST 95 STREET",1
"11236","BROOKLYN","FARRAGUT ROAD",NULL,"EAST 99 STREET",1
"11236","BROOKLYN","FARRAGUT ROAD                   ",NULL,"EAST 103 STREET",1
"11236","BROOKLYN","FARRAGUT ROAD                   ",NULL,"EAST 79 STREET",1
"11236","BROOKLYN","FARRAGUT ROAD                   ",NULL,"EAST 81 STREET",1
"11236","BROOKLYN","FARRAGUT ROAD                   ",NULL,"EAST 83 STREET",1
"11236","BROOKLYN","FARRAGUT ROAD                   ",NULL,"EAST 84 STREET",1
"11236","BROOKLYN","FARRAGUT ROAD                   ",NULL,"EAST 86 STREET",1
"11236","BROOKLYN","FARRAGUT ROAD                   ",NULL,"EAST 95 STREET",1
"11236","BROOKLYN","FARRAGUT ROAD                   ",NULL,"EAST 96 STREET",1
"11236","BROOKLYN","FARRAGUT ROAD                   ",NULL,"REMSEN AVENUE",1
"11236","BROOKLYN","FARRAGUT ROAD                   ",NULL,"ROCKAWAY PARKWAY",1
"11236","BROOKLYN","FLATLANDS AVENUE",NULL,"EAST 100 STREET",1
"11236","BROOKLYN","FLATLANDS AVENUE",NULL,"EAST 102 STREET",1
"11236","BROOKLYN","FLATLANDS AVENUE",NULL,"EAST 103 STREET",1
"11236","BROOKLYN","FLATLANDS AVENUE",NULL,"EAST 106 STREET",1
"11236","BROOKLYN","FLATLANDS AVENUE",NULL,"EAST 108 STREET",1
"11236","BROOKLYN","FLATLANDS AVENUE",NULL,"EAST 79 STREET",1
"11236","BROOKLYN","FLATLANDS AVENUE",NULL,"EAST 82 STREET",1
"11236","BROOKLYN","FLATLANDS AVENUE",NULL,"EAST 87 STREET",1
"11236","BROOKLYN","FLATLANDS AVENUE",NULL,"EAST 89 STREET",1
"11236","BROOKLYN","FLATLANDS AVENUE",NULL,"EAST 91 STREET",1
"11236","BROOKLYN","FLATLANDS AVENUE",NULL,"EAST 93 STREET",1
"11236","BROOKLYN","FLATLANDS AVENUE",NULL,"EAST 95 STREET",1
"11236","BROOKLYN","FLATLANDS AVENUE",NULL,"EAST 96 STREET",1
"11236","BROOKLYN","FLATLANDS AVENUE",NULL,"REMSEN AVENUE",1
"11236","BROOKLYN","FLATLANDS AVENUE                ",NULL,"EAST 101 STREET",1
"11236","BROOKLYN","FLATLANDS AVENUE                ",NULL,"EAST 102 STREET",1
"11236","BROOKLYN","FLATLANDS AVENUE                ",NULL,"EAST 103 STREET",1
"11236","BROOKLYN","FLATLANDS AVENUE                ",NULL,"EAST 105 STREET",1
"11236","BROOKLYN","FLATLANDS AVENUE                ",NULL,"EAST 106 STREET",1
"11236","BROOKLYN","FLATLANDS AVENUE                ",NULL,"EAST 108 STREET",1
"11236","BROOKLYN","FLATLANDS AVENUE                ",NULL,"EAST 76 STREET",1
"11236","BROOKLYN","FLATLANDS AVENUE                ",NULL,"EAST 77 STREET",1
"11236","BROOKLYN","FLATLANDS AVENUE                ",NULL,"EAST 81 STREET",1
"11236","BROOKLYN","FLATLANDS AVENUE                ",NULL,"EAST 82 STREET",1
"11236","BROOKLYN","FLATLANDS AVENUE                ",NULL,"EAST 84 STREET",1
"11236","BROOKLYN","FLATLANDS AVENUE                ",NULL,"EAST 85 STREET",1
"11236","BROOKLYN","FLATLANDS AVENUE                ",NULL,"EAST 89 STREET",1
"11236","BROOKLYN","FLATLANDS AVENUE                ",NULL,"EAST 94 STREET",1
"11236","BROOKLYN","FLATLANDS AVENUE                ",NULL,"EAST 95 STREET",1
"11236","BROOKLYN","FLATLANDS AVENUE                ",NULL,"ROCKAWAY PARKWAY",1
"11236","BROOKLYN","Foster Ave",NULL,"East 105 street",1
"11236","BROOKLYN","FOSTER AVENUE",NULL,"EAST 100 STREET",1
"11236","BROOKLYN","FOSTER AVENUE",NULL,"EAST 101 STREET",1
"11236","BROOKLYN","FOSTER AVENUE",NULL,"EAST 81 STREET",1
"11236","BROOKLYN","FOSTER AVENUE",NULL,"EAST 87 STREET",1
"11236","BROOKLYN","FOSTER AVENUE",NULL,"EAST 92 STREET",1
"11236","BROOKLYN","FOSTER AVENUE",NULL,"EAST 93 STREET",1
"11236","BROOKLYN","FOSTER AVENUE",NULL,"EAST 98 STREET",1
"11236","BROOKLYN","FOSTER AVENUE",NULL,"ROCKAWAY PARKWAY",1
"11236","BROOKLYN","FOSTER AVENUE                   ",NULL,"EAST 101 STREET",1
"11236","BROOKLYN","FOSTER AVENUE                   ",NULL,"EAST 83 STREET",1
"11236","BROOKLYN","FOSTER AVENUE                   ",NULL,"EAST 93 STREET",1
"11236","BROOKLYN","FOSTER AVENUE                   ",NULL,"EAST 94 STREET",1
"11236","BROOKLYN","FOSTER AVENUE                   ",NULL,"REMSEN AVENUE",1
"11236","BROOKLYN","GLENWOOD ROAD",NULL,"EAST 100 STREET",1
"11236","BROOKLYN","GLENWOOD ROAD",NULL,"EAST 102 STREET",1
"11236","BROOKLYN","GLENWOOD ROAD",NULL,"EAST 76 STREET",1
"11236","BROOKLYN","GLENWOOD ROAD",NULL,"EAST 80 STREET",1
"11236","BROOKLYN","GLENWOOD ROAD",NULL,"EAST 83 STREET",1
"11236","BROOKLYN","GLENWOOD ROAD",NULL,"EAST 86 STREET",1
"11236","BROOKLYN","GLENWOOD ROAD",NULL,"EAST 87 STREET",1
"11236","BROOKLYN","GLENWOOD ROAD",NULL,"EAST 94 STREET",1
"11236","BROOKLYN","GLENWOOD ROAD",NULL,"EAST 95 STREET",1
"11236","BROOKLYN","GLENWOOD ROAD                   ",NULL,"EAST 102 STREET",1
"11236","BROOKLYN","GLENWOOD ROAD                   ",NULL,"EAST 79 STREET",1
"11236","BROOKLYN","GLENWOOD ROAD                   ",NULL,"EAST 84 STREET",1
"11236","BROOKLYN","GLENWOOD ROAD                   ",NULL,"EAST 96 STREET",1
"11236","BROOKLYN","GLENWOOD ROAD                   ",NULL,"ROCKAWAY PARKWAY",1
"11236","BROOKLYN","PAERDEGAT 1 STREET",NULL,"EAST 77 STREET",1
"11236","BROOKLYN","PAERDEGAT 1 STREET",NULL,"EAST 79 STREET",1
"11236","BROOKLYN","PAERDEGAT 1 STREET",NULL,"PAERDEGAT AVENUE NORTH",1
"11236","BROOKLYN","PAERDEGAT 1 STREET              ",NULL,"EAST 80 STREET",1
"11236","BROOKLYN","PAERDEGAT 1 STREET              ",NULL,"PAERDEGAT AVENUE NORTH",1
"11236","BROOKLYN","PAERDEGAT 11 STREET",NULL,"PAERDEGAT AVENUE NORTH",1
"11236","BROOKLYN","PAERDEGAT 2 STREET              ",NULL,"PAERDEGAT AVENUE NORTH",1
"11236","BROOKLYN","PAERDEGAT 3 STREET",NULL,"PAERDEGAT AVENUE NORTH",1
"11236","BROOKLYN","PAERDEGAT 7 STREET",NULL,"PAERDEGAT AVENUE NORTH",1
"11236","BROOKLYN","PAERDEGAT AVENUE NORTH",NULL,"PAERDEGAT 3 STREET",1
"11236","BROOKLYN","PAERDEGAT AVENUE NORTH",NULL,"PAERDEGAT 5 STREET",1
"11236","BROOKLYN","PAERDEGAT AVENUE NORTH",NULL,"SEAVIEW AVENUE",1
"11236","BROOKLYN","PAERDEGAT AVENUE NORTH          ",NULL,"PAERDEGAT 1 STREET",1
"11236","BROOKLYN","PAERDEGAT AVENUE NORTH          ",NULL,"PAERDEGAT 7 STREET",1
"11236","BROOKLYN","PRESTON COURT                   ",NULL,"EAST 83 STREET",1
"11236","BROOKLYN","RALPH AVENUE",NULL,"BEVERLEY ROAD",1
"11236","BROOKLYN","RALPH AVENUE",NULL,"REMSEN AVENUE",1
"11236","BROOKLYN","RALPH AVENUE",NULL,"SNYDER AVENUE",1
"11236","BROOKLYN","RALPH AVENUE",NULL,"TILDEN AVENUE",1
"11236","BROOKLYN","RALPH AVENUE                    ",NULL,"CANARSIE LANE",1
"11236","BROOKLYN","RALPH AVENUE                    ",NULL,"EAST 79 STREET",1
"11236","BROOKLYN","REMSEN AVENUE",NULL,"AVENUE J",1
"11236","BROOKLYN","REMSEN AVENUE                   ",NULL,"AVENUE K",1
"11236","BROOKLYN","REMSEN AVENUE                   ",NULL,"BAY VIEW PLACE",1
"11236","BROOKLYN","REMSEN AVENUE                   ",NULL,"BEDELL LANE",1
"11236","BROOKLYN","REMSEN AVENUE                   ",NULL,"FOSTER AVENUE",1
"11236","BROOKLYN","REMSEN AVENUE                   ",NULL,"RALPH AVENUE",1
"11236","BROOKLYN","ROCKAWAY AVENUE",NULL,"EAST 99 STREET",1
"11236","BROOKLYN","ROCKAWAY AVENUE",NULL,"FOSTER AVENUE",1
"11236","BROOKLYN","ROCKAWAY PARKWAY",NULL,"AVENUE B",1
"11236","BROOKLYN","ROCKAWAY PARKWAY",NULL,"AVENUE N",1
"11236","BROOKLYN","ROCKAWAY PARKWAY",NULL,"CONKLIN AVENUE",1
"11236","BROOKLYN","ROCKAWAY PARKWAY",NULL,"SMITHS LANE",1
"11236","BROOKLYN","ROCKAWAY PARKWAY                ",NULL,"AVENUE J",1
"11236","BROOKLYN","ROCKAWAY PARKWAY                ",NULL,"AVENUE M",1
"11236","BROOKLYN","ROCKAWAY PARKWAY                ",NULL,"GLENWOOD ROAD",1
